métier,Parcours,Similarity Score,Materials_Merged
courtage assurance,mdsi,14.698509,probabilité analyse statistique atelier programmation introduction introduction management gestion projet anglais français séminaire architecture système information management système information digital technology business valoir management stratégique transition digital business droit numérique anglais efficacité professionnel développement personnel séminaire métier projet intégré management projet conduite changement veille intelligence technologique transformation digital supply chain web marketing business process management analyse donnée prise décision outillage machine learning projet intégré anglais compétence personnel relationnelle séminaire métier décisionnel big dater solution erp crm gouvernance audit big dater gouvernance donnée personnel management équipe transition digital management interculturel analyse conception modélisation data warehous probabiliter analyse statistique atelier programmation introduction introduction management gestion projet anglais français séminaire stage entreprise pfe
courtage assurance,cca,14.708588,norme présentation norme relatif instrument financier norme relatif actif passif instrument financier audit contrôle interne economie digital erp gouvernance sécurité système information préparation certification sage fiscalité direct droit entreprise commercial communication business english projet intégré séminaire commissariat compte norme international relatif produit thème particulier droit pénal affaire fiscalité indirect finance entreprise investissement financement evaluation entreprise contrôle gestion stratégique management projet audit contrôle interne ingénieri financier projet intégré séminaire comptabiliter fusion consolidation gestion juridique fiscal structure audit contrôle interne iii finance international finance marché gestion risque fiscalité international contrôle contentieux fiscal avantage fiscal comptabilité international entité public anglais affaire projet intégré iii séminair iii cas synthèse comptabilité cas synthèse audit contrôle interne cas synthèse commissariat compte droit affaire cas synthèse fiscalité cas synthèse finance cas synthèse contrôle gestion initiation méthodologie recherche stage
direction dexploitation assuranc,mkd,14.439196,probabilité statistique analyse statistique analyse comportement consommateur marketing stratégique opérationnel atelier programmation python management stratégique transition digital management projet fondement technique communication digital recherche marketing business anglais efficacité professionnel développement personnel séminair métier droit numérique rse projet intégré web marketing marketing mobile technologie web infographie web design social media marketing crm management système information anglais compétence personnel relationnelle séminaire métier projet intégré développement web introduction big dater web analyse analyse donnée marketing merchandising commerce politique référencement management interculturel anglais iii préparation insertion vie professionnel séminaire métier iii design thinking projet intégré iii gouvernance donnée personnel stage entreprise pfe
direction dexploitation assuranc,,14.514332,algorithmique structure donnée système exploitation système logique architecture ordinateur analyse statistique probabiliter principe gestion comptabilité général compétence numérique excel avancer business communication principe économie travail collaboratif interfac homme machine séminair algorithmique structure donnée fondement réseau introduction système information logique mathématique algèbr système information comptable gestion financier business communication développement durable projet tuteurer introduction informatique décisionnel marketing stratégique programmation programmation web conception système information base donnée statistique inférentielle fondement marketing digital economie numérique ethiqu loi projet professionnel personnel ppp social media management projet séminair gestion opération logistique business process management framework net programmation sgbd administration gouvernance sécurité problem solving anglais projet tuteurer métier entrepreneuriat innovation big dater intégration erp génie logiciel gestion projet développement mobile développement business intelligence stratégie affaire électronique professional network service gestion carrière anglais affaire business crm séminaire métier
direction dexploitation assuranc,gamma,14.6927185,intégration probabilité analyse numérique atelier programmation python base donnée statistique inférentielle introduction actuariat comptabilité général financier théorie risque séminaire projet tutorer programmation vba modèle linéaire généraliser série temporel fondamental probabilité méthode monte carlo actuariat vie non vie machine learning modèle financier management risque comptabilité sectoriel assurance droit numérique protection donnée personnel séminaire projet tutorer programmation vba modèle aléatoire actuariat finance actuariat réassurance risque extrême modélisation mesure risque asset and liability management alm apprentissage statistique big dater analytic droit entreprise assurance réglementation gestion risque assurance préparation insertion professionnel séminair projet tutorer stage mois entreprise sfe
direction dexploitation assuranc,cca,14.713554,norme présentation norme relatif instrument financier norme relatif actif passif instrument financier audit contrôle interne economie digital erp gouvernance sécurité système information préparation certification sage fiscalité direct droit entreprise commercial communication business english projet intégré séminaire commissariat compte norme international relatif produit thème particulier droit pénal affaire fiscalité indirect finance entreprise investissement financement evaluation entreprise contrôle gestion stratégique management projet audit contrôle interne ingénieri financier projet intégré séminaire comptabiliter fusion consolidation gestion juridique fiscal structure audit contrôle interne iii finance international finance marché gestion risque fiscalité international contrôle contentieux fiscal avantage fiscal comptabilité international entité public anglais affaire projet intégré iii séminair iii cas synthèse comptabilité cas synthèse audit contrôle interne cas synthèse commissariat compte droit affaire cas synthèse fiscalité cas synthèse finance cas synthèse contrôle gestion initiation méthodologie recherche stage
étude actuariel assurance,mdsi,14.699485,probabilité analyse statistique atelier programmation introduction introduction management gestion projet anglais français séminaire architecture système information management système information digital technology business valoir management stratégique transition digital business droit numérique anglais efficacité professionnel développement personnel séminaire métier projet intégré management projet conduite changement veille intelligence technologique transformation digital supply chain web marketing business process management analyse donnée prise décision outillage machine learning projet intégré anglais compétence personnel relationnelle séminaire métier décisionnel big dater solution erp crm gouvernance audit big dater gouvernance donnée personnel management équipe transition digital management interculturel analyse conception modélisation data warehous probabiliter analyse statistique atelier programmation introduction introduction management gestion projet anglais français séminaire stage entreprise pfe
étude actuariel assurance,cca,14.829948,norme présentation norme relatif instrument financier norme relatif actif passif instrument financier audit contrôle interne economie digital erp gouvernance sécurité système information préparation certification sage fiscalité direct droit entreprise commercial communication business english projet intégré séminaire commissariat compte norme international relatif produit thème particulier droit pénal affaire fiscalité indirect finance entreprise investissement financement evaluation entreprise contrôle gestion stratégique management projet audit contrôle interne ingénieri financier projet intégré séminaire comptabiliter fusion consolidation gestion juridique fiscal structure audit contrôle interne iii finance international finance marché gestion risque fiscalité international contrôle contentieux fiscal avantage fiscal comptabilité international entité public anglais affaire projet intégré iii séminair iii cas synthèse comptabilité cas synthèse audit contrôle interne cas synthèse commissariat compte droit affaire cas synthèse fiscalité cas synthèse finance cas synthèse contrôle gestion initiation méthodologie recherche stage
étude actuariel assurance,gamma,14.926984,intégration probabilité analyse numérique atelier programmation python base donnée statistique inférentielle introduction actuariat comptabilité général financier théorie risque séminaire projet tutorer programmation vba modèle linéaire généraliser série temporel fondamental probabilité méthode monte carlo actuariat vie non vie machine learning modèle financier management risque comptabilité sectoriel assurance droit numérique protection donnée personnel séminaire projet tutorer programmation vba modèle aléatoire actuariat finance actuariat réassurance risque extrême modélisation mesure risque asset and liability management alm apprentissage statistique big dater analytic droit entreprise assurance réglementation gestion risque assurance préparation insertion professionnel séminair projet tutorer stage mois entreprise sfe
étude actuariel assurance,find,14.995362,intelligence artificiel finance analyse financier approfondir finance marché microstructure marché financier droit financier anglais culture numérique séminaire métier projet tutorer vba excel sgbd big dater inclusion financier finance international globalisation financier management innovation produit bancaire innovant econométrie appliquer finance efficacité professionnel compétence personnel projet tutorer solution erp crm core banking actuariat datamining trading haute fréquence thf technologie rpa technologie blockchain crypto monnaie ethique risque fintech cyber sécurité cryptographie regtech loi relatif protection donnée personnel anglais préparation insertion vie professionnel atelier design thinking séminaire métier iii projet tutorer iii application financier open banking assurance digital insurtech stage fin étude accès master
expertise risque assurance,,14.87237,algorithmique structure donnée système exploitation système logique architecture ordinateur analyse statistique probabiliter principe gestion comptabilité général compétence numérique excel avancer business communication principe économie travail collaboratif interfac homme machine séminair algorithmique structure donnée fondement réseau introduction système information logique mathématique algèbr système information comptable gestion financier business communication développement durable projet tuteurer introduction informatique décisionnel marketing stratégique programmation programmation web conception système information base donnée statistique inférentielle fondement marketing digital economie numérique ethiqu loi projet professionnel personnel ppp social media management projet séminair gestion opération logistique business process management framework net programmation sgbd administration gouvernance sécurité problem solving anglais projet tuteurer métier entrepreneuriat innovation big dater intégration erp génie logiciel gestion projet développement mobile développement business intelligence stratégie affaire électronique professional network service gestion carrière anglais affaire business crm séminaire métier
expertise risque assurance,mdsi,14.942404,probabilité analyse statistique atelier programmation introduction introduction management gestion projet anglais français séminaire architecture système information management système information digital technology business valoir management stratégique transition digital business droit numérique anglais efficacité professionnel développement personnel séminaire métier projet intégré management projet conduite changement veille intelligence technologique transformation digital supply chain web marketing business process management analyse donnée prise décision outillage machine learning projet intégré anglais compétence personnel relationnelle séminaire métier décisionnel big dater solution erp crm gouvernance audit big dater gouvernance donnée personnel management équipe transition digital management interculturel analyse conception modélisation data warehous probabiliter analyse statistique atelier programmation introduction introduction management gestion projet anglais français séminaire stage entreprise pfe
expertise risque assurance,gamma,14.960504,intégration probabilité analyse numérique atelier programmation python base donnée statistique inférentielle introduction actuariat comptabilité général financier théorie risque séminaire projet tutorer programmation vba modèle linéaire généraliser série temporel fondamental probabilité méthode monte carlo actuariat vie non vie machine learning modèle financier management risque comptabilité sectoriel assurance droit numérique protection donnée personnel séminaire projet tutorer programmation vba modèle aléatoire actuariat finance actuariat réassurance risque extrême modélisation mesure risque asset and liability management alm apprentissage statistique big dater analytic droit entreprise assurance réglementation gestion risque assurance préparation insertion professionnel séminair projet tutorer stage mois entreprise sfe
expertise risque assurance,cca,15.163099,norme présentation norme relatif instrument financier norme relatif actif passif instrument financier audit contrôle interne economie digital erp gouvernance sécurité système information préparation certification sage fiscalité direct droit entreprise commercial communication business english projet intégré séminaire commissariat compte norme international relatif produit thème particulier droit pénal affaire fiscalité indirect finance entreprise investissement financement evaluation entreprise contrôle gestion stratégique management projet audit contrôle interne ingénieri financier projet intégré séminaire comptabiliter fusion consolidation gestion juridique fiscal structure audit contrôle interne iii finance international finance marché gestion risque fiscalité international contrôle contentieux fiscal avantage fiscal comptabilité international entité public anglais affaire projet intégré iii séminair iii cas synthèse comptabilité cas synthèse audit contrôle interne cas synthèse commissariat compte droit affaire cas synthèse fiscalité cas synthèse finance cas synthèse contrôle gestion initiation méthodologie recherche stage
indemnisation assuranc,mkd,14.372982,probabilité statistique analyse statistique analyse comportement consommateur marketing stratégique opérationnel atelier programmation python management stratégique transition digital management projet fondement technique communication digital recherche marketing business anglais efficacité professionnel développement personnel séminair métier droit numérique rse projet intégré web marketing marketing mobile technologie web infographie web design social media marketing crm management système information anglais compétence personnel relationnelle séminaire métier projet intégré développement web introduction big dater web analyse analyse donnée marketing merchandising commerce politique référencement management interculturel anglais iii préparation insertion vie professionnel séminaire métier iii design thinking projet intégré iii gouvernance donnée personnel stage entreprise pfe
indemnisation assuranc,mdsi,14.374777,probabilité analyse statistique atelier programmation introduction introduction management gestion projet anglais français séminaire architecture système information management système information digital technology business valoir management stratégique transition digital business droit numérique anglais efficacité professionnel développement personnel séminaire métier projet intégré management projet conduite changement veille intelligence technologique transformation digital supply chain web marketing business process management analyse donnée prise décision outillage machine learning projet intégré anglais compétence personnel relationnelle séminaire métier décisionnel big dater solution erp crm gouvernance audit big dater gouvernance donnée personnel management équipe transition digital management interculturel analyse conception modélisation data warehous probabiliter analyse statistique atelier programmation introduction introduction management gestion projet anglais français séminaire stage entreprise pfe
indemnisation assuranc,gamma,14.568357,intégration probabilité analyse numérique atelier programmation python base donnée statistique inférentielle introduction actuariat comptabilité général financier théorie risque séminaire projet tutorer programmation vba modèle linéaire généraliser série temporel fondamental probabilité méthode monte carlo actuariat vie non vie machine learning modèle financier management risque comptabilité sectoriel assurance droit numérique protection donnée personnel séminaire projet tutorer programmation vba modèle aléatoire actuariat finance actuariat réassurance risque extrême modélisation mesure risque asset and liability management alm apprentissage statistique big dater analytic droit entreprise assurance réglementation gestion risque assurance préparation insertion professionnel séminair projet tutorer stage mois entreprise sfe
